Title,Year,Language,Day1_collection_cr,Production Company,Release Date,Genre,Director,Runtime (min),trailer_title,channel_name,video_id,published_at,viewCount,likeCount,commentCount,comments_collected,avg_sentiment,median_sentiment,Production_House_Score_Raw,Production_House_Score,Director_Score_Raw,Director_Score
Tera Intezaar,2017,Hindi,0.5,Bageshree Films,01-12-2017,"Romance, Thriller",Raajeev Walia,108,LEAltJ6l2qE,Tera Intezaar Official Trailer 2017 Released | Sunny Leone | Arbaaz Khan,MT Everest Films,2017-11-12,5221,28,0,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Ganapath,2023,Hindi,2.2,"Pooja Entertainment India Ltd., Good Co. Production",20-10-2023,"Action, Sports",Vikas Bahl,134,szovD3BnvJI,"GANAPATH Official Hindi Trailer | Amitabh B, Tiger S, Kriti S | Vikas B, Jackky B  | 20th Oct' 23",Pooja Entertainment,2023-10-09,22765386,248330,19802,50,0.2628,0.4404,7.963697641509434,34.523745571560404,9.746666666666668,18.14626969685238
Housefull 4,2019,Hindi,16.5,"Nadiadwala Grandson Entertainment, Fox Star Studios",25-10-2019,"Comedy, Drama",Farhad Samji,146,gcHH34cEl3Y,Housefull 4 |Official Trailer|Akshay|Riteish|Bobby|Kriti S|Pooja|Kriti K|Sajid N|Farhad| Oct 25,Star Studios,2019-09-27,127325188,1856366,64735,50,0.6347,0.7889,10.703333333333335,50.0855417531664,15.186666666666667,30.7832281544001
Double XL,2022,Hindi,0.15,"T-Series Super Cassettes Industries Ltd., Wakaoo Films, Elemen3 Entertainment, Reclining Seats Cinema",04-11-2022,"Comedy, Drama",Satramm Ramani,0,2mztRw4Z7FI,"Double XL (Official Trailer) Sonakshi Sinha, Huma Qureshi | T-Series | Trailer",Avi Entertainment,2022-10-12,2403,12,0,0,,,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878
Bad Newz,2024,Hindi,8.62,"Dharma Productions, Leo Media Collective, Amazon Prime Video",19-07-2024,"Comedy, Drama",Anand Tiwari,142,Ujb2c508yw0,Jaanam | Bad Newz | Vicky Kaushal | Triptii Dimri | Vishal Mishra,Saregama Music,2024-07-09,60288211,377207,14182,50,0.2198,0.2899,9.3215,42.23639277527201,8.663776988636364,15.630749131525878
Fanney Khan,2018,Hindi,2.15,"Rakeysh Omprakash Mehra Pictures, T-Series Super Cassettes Industries Ltd.",03-08-2018,"Family, Drama",Atul Manjrekar,129,uxLR6529mdw,"FANNEY KHAN Official Trailer | Anil Kapoor, Aishwarya Rai Bachchan, Rajkummar Rao",T-Series,2018-07-06,26040844,263235,9206,0,,,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878
Mercury,2018,Hindi,0.32,Life To Live Films,13-04-2018,Drama,Karthik Subbaraj,14,W7K61mvsr_8,Mercury | Official Trailer | Parbhu Deva | Kartik Subbhraj 2018,Standard Films,2018-04-12,108,2,0,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Freaky Ali,2016,Hindi,0.1,"Salman Khan Films, Sohail Khan Productions",09-09-2016,Drama,Sohail Khan,120,GpaujAio7ss,"Freaky Ali Full Movie | Nawazuddin Siddiqui, Amy Jackson, Jackie Shroff | Full Hindi Movie",NH Studioz,2023-07-22,21409075,219756,3112,0,,,14.193125,69.90840608326965,8.663776988636364,15.630749131525878
Ground Zero,2025,Hindi,1.15,Excel Entertainment,25-04-2025,"Action, Patriotic",Tejas Prabha Vijay Deoskar,137,Qu1ynfL1g70,From Ground Zero | Official Trailer HD | In Theaters NOW!,Watermelon Pictures,2024-11-25,156002,2570,244,50,0.3232,0.5106,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Tipppsy,2024,Hindi,0.08,"Panorama Studios, Alliance Productions India LLP, Raju Chadha Films",10-05-2024,"Thriller, Drama",Deepak Tijori,115,Uzonzi6fKDk,"UNCUT - Tipppsy Official Trailer Launch | Pooja Bhatt, Mahesh Bhatt, Deepak Tijori | Entire Cast",Viralbollywood,2024-04-25,6242,65,11,10,0.6077,0.8232,18.925130000000003,96.78734387784775,8.663776988636364,15.630749131525878
Maidaan,2024,Hindi,7.25,"Zee Studios, Bayview Projects LLP, Freshlime Studios",11-04-2024,"Biographical, Sports",Amit Ravindernath Sharma,181,#NAME?,Maidaan Final Trailer | Ajay Devgn | Priyamani | 10 Apr | Amit S | Boney K | A.R.Rahman | Fresh Lime,Zee Studios,2024-04-02,42568694,109792,2661,50,0.3978,0.6249,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878
Dhanak,2016,Hindi,0.29,"Kukunoor Movies, Drishyam Films",17-06-2016,Drama,Nagesh Kukunoor,116,GRq6nXiJdug,DHADAK 2 - OFFICIAL TRAILER | Siddhant Chaturvedi | Triptii Dimri | Shazia Iqbal | 1st August,Dharma Productions,2025-07-11,7751135,143611,7968,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Dongri Ka Raja,2016,Hindi,0.27,Filmy Keeda Productions,11-11-2016,Action,Hadi Ali Abrar,139,g0tvMwh1Ca4,Dongri Ka Raja Official Trailer | Ronit Roy | Ashmit Patel | Gashmeer | Reecha | Sunny Leone,FILMY KEEDA PRODUCTIONS,2016-10-12,3555808,3779,132,50,0.4047,0.4757,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Chicken Curry Law,2019,Hindi,127.1273,PAN India,09-08-2019,"Drama, Crime, Social",Shekhar Sirrinn,127,lnLYzGYzAQo,"Full Movie | Ã Â¤ÂÃ Â¤Â¿Ã Â¤ÂÃ Â¤Â¨ Ã Â¤ÂÃ Â¤Â°Ã Â¥Â Ã Â¤Â²Ã Â¥Â | Ashutosh Rana, Natalia Janoszek | Chicken Curry Law | Hindi Movie 2023",Wave Music Bhojpuri,2023-07-16,5315922,51480,1708,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Heropanti 2,2022,Hindi,6.5,Nadiadwala Grandson Entertainment,29-04-2022,"Action, Romance",Ahmed Khan,142,Faz9PrY6xF8,Heropanti 2 - Official Trailer | Tiger S Tara S Nawazuddin | Sajid Nadiadwala |Ahmed Khan|29th April,NadiadwalaGrandson,2022-03-17,83214957,1404912,108480,50,0.4461,0.4939,13.258666666666667,64.60045577187063,8.663776988636364,15.630749131525878
Siya,2022,Hindi,0.2,"Panorama Studios, Drishyam Films",16-09-2022,"Drama, Social",Manish Mundra,109,QA5fcwcbv2A,SIYA - Official Teaser | Pooja Pandey | Vineet Kumar Singh | Manish Mundra,DrishyamFilms,2022-08-17,2271807,4759,253,50,0.2023,0.10115,18.925130000000003,96.78734387784775,8.663776988636364,15.630749131525878
Vikram Vedha,2022,Hindi,10.58,"T-Series Super Cassettes Industries Ltd., A Friday Filmworks, Reliance Entertainment, Jio Studios, Y Not Studios",30-09-2022,"Action, Thriller","Gayatri, Pushkar",159,hpwnlr-ZHB0,"Vikram Vedha Official Trailer | Hrithik Roshan, Saif Ali Khan, Pushkar & Gayatri |IN CINEMAS 30 SEPT",T-Series,2022-09-08,62006463,1275814,77072,50,0.3041,0.493,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878
Manmarziyaan,2018,Hindi,3.52,"Eros International, Phantom Films, Colour Yellow Production",14-09-2018,"Drama, Romance",Anurag Kashyap,157,A_2pybJIitw,Manmarziyaan | Ã Â¤Â®Ã Â¤Â¨Ã Â¤Â®Ã Â¤Â°Ã Â¥ÂÃ Â¤ÂÃ Â¤Â¿Ã Â¤Â¯Ã Â¤Â¾Ã Â¤Â | Vicky Kaushal | Abhishek Bachchan | Taapsee Pannu | | Hindi Full Movie,Mzaalo Cineplex,2023-10-19,5648555,65225,2653,0,,,1.8858333333333333,0.0,8.663776988636364,15.630749131525878
A Flying Jatt,2016,Hindi,7.1,Balaji Motion Pictures,25-08-2016,Action,Remo DSouza,151,N8ja3PHlsjs,A Flying Jatt - Title Track - Full Video | Tiger S Jacqueline F | Sachin Jigar | Mansheel| Raftaar,Zee Music Company,2016-12-05,86264826,285936,5170,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Veerey Ki Wedding,2018,Hindi,121.1213,Panorama Studios,02-03-2018,"Comedy, Drama",Asshu Trikha,121,IZODr96ZRCc,"Veere Di Wedding Trailer | Kareena Kapoor Khan, Sonam Kapoor, Swara Bhasker, Shikha Talsania| June 1",balajimotionpictures,2018-04-25,43514816,338572,19774,0,,,18.925130000000003,96.78734387784775,8.663776988636364,15.630749131525878
Toilet: Ek Prem Katha,2017,Hindi,20.12,"Abundantia Entertainment, Plan C Studios, Kriaj Entertainment Pvt. Ltd., Cape of Good Films, Viacom 18 Motion Pictures",11-08-2017,"Comedy, Drama",Shree Narayan Singh,155,ym4EJQ7XORk,Toilet Ek Prem Katha Official Trailer | Akshay Kumar | Bhumi Pednekar | 11 Aug 2017,Viacom18 Studios,2017-06-11,47943205,374927,16554,50,0.5094,0.64185,7.208999999999999,30.236879653234688,8.663776988636364,15.630749131525878
War,2019,Hindi,53.35,Yash Raj Films,02-10-2019,"Action, Thriller",Siddharth Anand,156,6Wy-Du0iHHU,"WAR 2 | Trailer | Hrithik Roshan,NTR, Kiara Advani | Ayan Mukerji | YRF Spy Universe | Netflix India",Netflix India,2025-10-09,378350,7079,552,0,,,19.490714285714287,100.0,44.98333333333333,100.0
Airlift,2016,Hindi,20.22,"T-Series Super Cassettes Industries Ltd., Emmay Entertainment Pvt. Ltd, Cape of Good Films, Crouching Tiger Motion Pictures",22-01-2016,"Drama, Historical",Raja Krishna Menon,124,mwVKwP0V7Q4,AIRLIFT (Full Movie): Akshay Kumar | Nimrat Kaur | Raja Krishna Menon | Hindi Movie | Bhushan Kumar,T-Series,2025-02-21,20691158,211229,5074,0,,,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878
Chakallaspur,2017,Hindi,0.001,Kiran Jaiswal Production,26-05-2017,Drama,Rajnish Jaiswal,124,4qaFX2hWL2U,Chak Chak Chakallaspur | Movie Song | Chakallaspur,SRK MUSIC,2017-05-16,3046,36,3,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
31st October,2016,Hindi,0.1,Magical Dreams Productions Pvt Ltd,21-10-2016,"Drama, Period",Shivaji Lotan Patil,109,PacF-CSQYUc,PUNHA SHIVAJIRAJE BHOSALE | OFFICIAL TRAILER | MAHESH MANJREKAR | SIDDHARTH BODKE | 31 OCTOBER,Zee Studios,2025-10-11,3042860,4618,207,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Tubelight,2017,Hindi,21.15,Salman Khan Films,23-06-2017,Drama,Kabir Khan,136,PGQRNKHJwH4,Tubelight | Official Trailer | Salman Khan | Sohail Khan | Kabir Khan,Salman Khan Films,2017-05-25,30078237,292853,18185,50,0.6125,0.84,14.193125,69.90840608326965,12.68,24.960315923961442
Fighter,2024,Hindi,24.6,"Marflix Pictures, Viacom18 Studio",25-01-2024,"Action, Patriotic",Siddharth Anand,166,6amIq_mP4xM,"Fighter Official Trailer | Hrithik Roshan, Deepika Padukone, Anil Kapoor, Siddharth Anand | 25th Jan",Viacom18 Studios,2024-01-15,54792874,659424,56695,50,0.2936,0.4316,7.963697641509434,34.523745571560404,44.98333333333333,100.0
Hai Apna Dil Toh Awara,2016,Hindi,0.04,"Anikaa Films, Monjoy Joy Mukerji Productions",05-08-2016,Comedy,Monjoy Joy Mukerji,127,adDtRrqJzys,"Hai Apna Dil l The Xpose l Himesh Reshammiya, Yo Yo Honey Singh",T-Series,2014-04-10,51735906,597472,9510,14,0.4889,0.6486,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Paltan,2018,Hindi,1.28,"Zee Studios, J P Films",07-09-2018,Drama,J P Dutta,154,jUVHaOoivCo,"Paltan - Official Trailer - Jackie Shroff, Arjun Rampal, Sonu Sood - J P Dutta Film - 7 Sep",trailer junction,2018-08-22,290838,3198,76,0,,,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878
Commando 2,2017,Hindi,5.14,"Reliance Entertainment, Pen India Ltd., Sunshine Pictures Pvt. Ltd",03-03-2017,"Action, Drama",Deven Bhojani,123,gO4ZIgHOR50,Commando 2 | Official Trailer | Vidyut Jammwal | Adah Sharma | Esha Gupta | Freddy | 3rd March 2017,RelianceEntertainment,2017-01-23,32706399,129324,4846,50,0.4589,0.61215,9.027692307692307,40.567493717661755,8.663776988636364,15.630749131525878
Housefull 5,2025,Hindi,24.35,Nadiadwala Grandson Entertainment,06-06-2025,"Comedy, Thriller",Tarun Mansukhani,165,rcPuG_PkAf8,Housefull 5: Laal Pari (Full Video) | Yo Yo Honey Singh | Sajid Nadiadwala | Tarun Mansukhani,T-Series,2025-06-14,76689150,398877,8031,0,,,13.258666666666667,64.60045577187063,8.663776988636364,15.630749131525878
Dhadak,2018,Hindi,8.71,"Dharma Productions, Zee Studios",20-07-2018,"Romance, Drama",Shashank Khaitan,138,qWnzMwT6SKo,Dhadak - Title Track | Dhadak | Ishaan & Janhvi | Ajay Gogavale & Shreya Ghoshal | Ajay-Atul,Zee Music Company,2018-06-20,214092686,1725572,78548,29,0.4567,0.4926,11.320843333333334,53.59314854511398,10.356666666666667,19.563281582717106
Aiyaary,2018,Hindi,3.36,"Reliance Entertainment, Plan C Studios, Jayantilal Gada, A Friday Filmworks",16-02-2018,"Action, Drama, Thriller",Neeraj Pandey,160,KcWXKmnZZVo,Aiyaary Trailer  | Neeraj Pandey | Sidharth Malhotra | Manoj Bajpayee | Releases 16th February 2018,RelianceEntertainment,2017-12-19,23442002,247685,10011,50,0.4303,0.6059,9.027692307692307,40.567493717661755,8.663776988636364,15.630749131525878
Dukaan,2024,Hindi,0.18,"Waveband Production, Kalamkaar Picture Productions",05-04-2024,"Social, Drama","Garima Wahal, Siddharth Singh",122,kKUEGxSwmbw,"Dukaan Official Trailer | Siddharth-Garima, Monika P, Sikandar K, A Jhunjhunwala","FILMI MOVIE INDIA Ã¢ÂÂ¢ 509K Views Ã¢ÂÂ¢ 2 days ago 


...",2024-03-04,2393,12,0,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Hamid,2019,Hindi,0.01,"Saregama India Limited, Yoodlee Films",15-03-2019,Social,Aijaz Khan,108,AbLtdPmKyL4,Hamid | Ã Â¤Â¹Ã Â¤Â¾Ã Â¤Â®Ã Â¤Â¿Ã Â¤Â¦ | Official Trailer | 15th March | Aijaz| Rasika Dugal | Talha| Vikas Kumar| Sumit Kaul,Yoodlee Films,2019-03-06,7584740,32996,2357,50,0.4871,0.6369,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Phule,2025,Hindi,0.25,"Zee Studios, Dancing Shiva Productions, Kingsmen Productions",25-04-2025,"Biographical, Drama",Ananth Narayan Mahadevan,129,#NAME?,"Phule | Official Trailer | Pratik Gandhi & Patralekhaa | Ananth Narayan Mahadevan | April 25, 2025",Zee Studios,2025-03-24,4129124,206053,12969,50,0.321,0.1279,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878
Hope Aur Hum,2018,Hindi,0.12,"PVR Pictures, Thumbnail Pictures",11-05-2018,Comedy,Sudip Bandyopadhyay,96,kv4eDPAppjQ,"Hope Aur Hum Official Trailer Launch | Naseeruddin Shah, Sonali Kulkarni",Filmymantra,2018-04-24,50,2,0,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
The Fakir of Venice,2019,Hindi,0.04,"Phat Phish Productions, October Films LLP",08-02-2019,Drama,Anand Surapur,87,Du6u7TYYw7Q,"The Fakir of Venice Trailer - Farhan Akhtar, Annu Kapoor | AR Rahman",October Films India,2017-05-27,3590497,19556,462,50,0.5045,0.61715,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Heer Express,2025,Hindi,0.35,"A Merry Go Round Studios, Tulip Entertainment, Divisa Entertainment, Creative Strokes Group",12-09-2025,"Comedy, Drama",Umesh Shukla,142,eV4M8WKmAxc,Ve Ranjhana | Heer Express | Divita Juneja & Prit Kamani | Simar Kaur & Navi Sran | Avvy Sra,Zee Music Company,2025-06-24,21578084,141127,2461,50,0.6098,0.7648,7.963697641509434,34.523745571560404,1.935,0.0
Moh Maya Money,2016,Hindi,0.25,Delhi Talkies,25-11-2016,Drama,Munish Bhardwaj,109,Dkj5TkUn8to,"Sab Moh Maaya Hai (Trailer) | Annu K, Sharman J | Abhinav P | Anurag K | Zee Anmol Cinema 18th Nov",Hitz Music,2023-10-30,3946207,62511,1196,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Jogira Sara Ra Ra,2023,Hindi,0.3,Touchwood Multimedia Creations,26-05-2023,"Romance, Comedy",Kushan Nandy,121,D2L6t0wuEtE,Jogira Sara Ra Ra - Official Trailer | Nawazuddin Siddiqui & Neha Sharma | Kushan Nandy,Zee Music Company,2023-05-01,9909796,90752,1771,50,0.5138,0.7259,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Running Shaadi,2017,Hindi,0.15,"Crouching Tiger Motion Pictures, Rising Sun Films Production",17-02-2017,"Romance, Comedy",Amit Roy,114,PhKoIWwU-xQ,Running Shaadi | Official Trailer | Taapsee Pannu | Amit Sadh | Releasing 17th Feb 2017,Times Music,2017-01-05,576014,2083,74,50,0.3964,0.5148,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Photograph,2019,Hindi,0.25,"Amazon Studios, Filmscience, The Match Factory, Poetic License, KNM Production, Skywalk Films",15-03-2019,"Drama, Romance",Ritesh Batra,111,hUL2z8Ps_Ik,Photograph Ã¢ÂÂ Official Trailer Starring Nawazuddin Siddiqui and Sanya Malhotra | Amazon Studios,Prime Movies,2019-02-18,6147639,37328,1344,50,0.5578,0.69955,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Joram,2023,Hindi,0.4,Zee Studios,08-12-2023,"Action, Thriller",Devashish Makhija,121,XOCbjto_DFk,#Joram Official Trailer | 8th Dec Worldwide | Manoj Bajpayee | Zeeshan Ayyub | Smita T | Devashish M,Zee Studios,2023-11-24,11573883,43640,954,0,,,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878
Waarrior Savitri,2016,Hindi,0.01,"Jai Viratra Entertainment Ltd, Dr. Bob's Production",25-08-2016,"Action, Drama",Param Gill,123,sJNMtM1zECg,Waarrior Savitri - Official Trailer | Niharica Raizada | Lucy Pinder | Om Puri | Hindi Movie 2016,Venus Movies,2016-09-07,261356,827,49,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Fraud Saiyaan,2019,Hindi,0.11,"Prakash Jha Productions, Drama King Entertainment",18-01-2019,Comedy,Sourabh Shrivastava,109,e20_3EAxcQ4,"Fraud Saiyaan Official Trailer | Arshad Warsi, Saurabh Shukla, Elli AvrRam, Sara Loren | 18 Jan 2019",Tips Official,2018-12-27,13853549,159015,3441,50,0.742,0.86195,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Jab Harry Met Sejal,2017,Hindi,15.25,Red Chillies Entertainment,04-08-2017,"Drama, Romance",Imtiaz Ali,143,cYOB941gyXI,"Hawayein Lyrical Video - Jab Harry Met Sejal | Shah Rukh Khan, Anushka | Arijit Singh | Pritam",SonyMusicIndiaVEVO,2017-08-24,562692890,2923274,76300,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Rukh,2017,Hindi,0.1,"Eros International, Drishyam Films",27-10-2017,Thriller,Atanu Mukharjee,106,KAOmkeosa8I,"KING - Official Trailer | Shah Rukh Khan | Suhana Khan | Abhishek Bachchan, Sujay Ghosh, New Movie","Golden Movies  Ã¢ÂÂ¢ 1.6M views Ã¢ÂÂ¢ 3 hours ago




`",2025-01-21,3807705,62808,1105,0,,,1.8858333333333333,0.0,8.663776988636364,15.630749131525878
Yeh Hai India,2019,Hindi,0.001,DLB Films Pvt Ltd,24-05-2019,Drama,Lom Harsh,128,RftrD49jqMc,Yeh Hai India | International Trailer | Gavie Chahal | Lomharsh | In Cinemas 24 May,DLB Films Pvt Ltd,2017-07-05,3087074,21526,208,50,0.5502,0.6249,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Mantostaan,2017,Hindi,0.07,"Rahat Kazmi Films, Tariq Khan Production, Aditya Pratap Singh Entertainment, Zeba Sajid Films",05-05-2017,"Drama, Biographical, Historical, Period",Rahat Kazmi,92,QFbUei2DDhc,Manto - Official Trailer | Nawazuddin Siddiqui | Nandita Das | In Cinemas 21st September 2018,Viacom18 Studios,2018-08-14,12561168,151757,4506,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Aligarh,2016,Hindi,0.31,"Karma Pictures, Eros International",26-02-2016,"Social, Drama",Hansal Mehta,120,JezwsQKpXuU,Aligarh Official Trailer | Watch Full Movie On Eros Now,Eros Now Music,2016-01-29,5712725,39008,1470,50,0.6019,0.7307,1.8858333333333333,0.0,8.663776988636364,15.630749131525878
Tiger 3,2023,Hindi,44.5,Yash Raj Films,12-11-2023,"Action, Thriller",Maneesh Sharma,153,Jw3UyeMmOdw,Tiger 3 | Date Announcement | Salman Khan | Katrina Kaif | Emraan Hashmi | Maneesh Sharma,YRF,2022-03-04,22277331,688962,30287,50,0.0655,0.0,19.490714285714287,100.0,8.663776988636364,15.630749131525878
Golmaal Again,2017,Hindi,30.14,"Rohit Shetty Productions, Reliance Entertainment, Mangal Murti Films PVT. LTD.",20-10-2017,"Horror, Comedy",Rohit Shetty,151,VgQUwsUHdqc,Golmaal Again | Official Trailer | Rohit Shetty | Ajay Devgn,RelianceEntertainment,2017-09-22,42749941,301016,19360,50,0.4937,0.62445,9.027692307692307,40.567493717661755,33.376666666666665,73.03805799682529
Begum Jaan,2017,Hindi,0.02,"Vishesh Films, PLAY Entertainment",14-04-2017,Drama,Srijit Mukherjee,134,rhmT2nfc6ko,Begum Jaan | Official Trailer | Vidya Balan | Srijit Mukherji,Vishesh Films,2017-03-14,38584286,177474,7376,50,0.5864,0.6418,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Super 30,2019,Hindi,11.83,"Nadiadwala Grandson Entertainment, Reliance Entertainment, Phantom Films, HRX Films",12-07-2019,"Biographical, Drama, Social",Vikas Bahl,154,QpvEWVVnICE,Super 30 | Official Trailer | Hrithik Roshan | Vikas Bahl | July 12,RelianceEntertainment,2019-06-04,68485904,1484652,66795,50,0.4982,0.6369,13.258666666666667,64.60045577187063,9.746666666666668,18.14626969685238
Sukhee,2023,Hindi,0.25,"T-Series Super Cassettes Industries Ltd., Abundantia Entertainment, Gulshan Kumar Presents",22-09-2023,"Family, Drama",Sonal Joshi,138,7EwAT0N1sRw,Sukhee - Official Trailer | Shilpa Shetty | Kusha Kapila | 21 Sep in GCC | worldwide on 22 Sep.,FunAsia Films,2023-09-16,323624,0,3,0,,,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878
Junooniyat,2016,Hindi,0.4,T-Series Super Cassettes Industries Ltd.,24-06-2016,Romance,Vivek Agnihotri,129,y9jtbWNAvXc,EK DEEWANE KI DEEWANIYAT - Trailer | Harshvardhan & Sonam | Milap | Anshul | In Cinemas 21st October,Play DMF,2025-10-08,47459838,413543,42276,0,,,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878
Love Ke Funday,2016,Hindi,0.01,"FRV Big Business Entertainment Pvt. Ltd, Prem Motion Pictures",29-07-2016,"Comedy, Romance",Indervesh Yogee,131,PYjlBtSryoY,Love Ke Funday - Official Trailer 2016 | Shaleen Bhanot | Pooja Banerjee | Hindi Movies Trailer 2016,Venus Movies,2016-11-05,48704,215,1,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Cash,2021,Hindi,3.73,"Adlabs Films Ltd, Sohail Maklai Entertainment Pvt Ltd, Seven Entertainment Ltd., ASP White",19-11-2021,"Action, Thriller",Anubhav Sinha,119,f5y-cziwmMw,Crime 101 | Official Trailer,Amazon MGM Studios,2025-10-23,5251022,10731,604,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Raid,2018,Hindi,10.04,"T-Series Super Cassettes Industries Ltd., Panorama Studios",16-03-2018,"Crime, Thriller",Rajkumar Gupta,128,m6Q7KnXpNOg,The Raid | Official US Trailer HD (2011),Sony Pictures Classics,2012-02-24,5637838,30703,1477,44,0.1622,0.0386,8.906391304347826,39.87847455489328,10.616666666666667,20.167253861938136
Bhool Bhulaiyaa 2,2022,Hindi,14.11,"T-Series Super Cassettes Industries Ltd., Cine1 Studios Production",20-05-2022,"Horror, Comedy",Anees Bazmee,143,J1rOfVst-EQ,"Bhool Bhulaiyaa 2 (Title Track) Kartik A, Kiara A, Tabu |Pritam, Tanishk, Neeraj, Anees B, Bhushan K",T-Series,2022-05-02,341299801,2677511,87761,50,0.651,0.84555,8.906391304347826,39.87847455489328,13.885,27.759495141120446
Mom,2017,Hindi,2.9,"Zee Studios, Mad Films, Third Eye Pictures, BSK Network & Entertainment Pvt. Ltd., Naresh Agarwal Films",07-07-2017,Thriller,Ravi Udyawar,147,hctApy_i-qg,MOM - Official Trailer | Sridevi | Nawazuddin Siddiqui | Akshaye Khanna | Hindi Thriller Movie,Zee Studios,2017-06-03,16006190,73322,3088,50,0.6715,0.78445,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878
Jacqueline I Am Coming,2019,Hindi,0.01,M.D. Production,18-10-2019,Drama,Banty Dubey,111,WP-Fy4iMsVQ,"Gevi - Trailer | Sheela, Jacqueline, Aadhavan, Charles Vinoth | Tamil Dhayalan | Balasubramaniam",TrendMusic,2025-07-06,1234587,3873,253,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Bajrang Aur Ali,2024,Hindi,0.24,"Utterup Films, Phenomenal Crafts Ltd",07-06-2024,Drama,Jaiveer Sharma,122,ZPYRggGZKyE,Bajrang Aur Ali | Official Trailer | In Cinemas Now,Utterup Films,2024-05-24,9868110,25863,315,50,0.6256,0.6369,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Ishqeria,2018,Hindi,0.04,"Yen Movies Production, Swarp Films",21-09-2018,Romance,Prerna Wadhawan,118,bd8Fa7N7o5Q,Offical Trailer: Ishqeria | Richa Chadha | Neil Nitin Mukesh,T-Series,2018-08-29,3797571,21736,1345,50,0.6022,0.77735,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Race 3,2018,Hindi,28.5,"Salman Khan Films, Tips Films",15-06-2018,"Action, Suspense",Remo DSouza,159,xBht9TG7ySw,Race 3 | Official Trailer | Salman Khan | Remo D'Souza | Releasing on 15th June 2018 | #Race3ThisEID,Salman Khan Films,2018-05-15,69637689,732949,39455,50,0.2945,0.24305,14.193125,69.90840608326965,8.663776988636364,15.630749131525878
Dono,2023,Hindi,0.7,"Rajshri Productions Pvt Ltd, Jio Studios",05-10-2023,"Romance, Drama",Avnish S. Barjatya,156,3Q38mFO_JZU,"Dono: Official Teaser | Rajveer Deol, Paloma, Avnish S. Barjatya | In Cinemas Soon",Rajshri,2023-07-25,10784271,19821,2225,0,,,14.695833333333335,72.76391152345468,8.663776988636364,15.630749131525878
Raazi,2018,Hindi,7.53,"Junglee Pictures, Dharma Productions",11-05-2018,"Patriotic, Thriller",Meghna Gulzar,138,nDbjJVmGV98,"Ã¢ÂÂRaaziÃ¢ÂÂ Official Trailer | Alia Bhatt, Vicky Kaushal | Directed by Meghna Gulzar | 11th May 2018",Junglee Pictures,2018-04-10,7908533,62197,2511,50,0.5636,0.73195,9.3215,42.23639277527201,8.663776988636364,15.630749131525878
